transaction_id,customer_id,transaction_ts,transaction_type,status,amount,currency,provider_reference,ingested_at
APPB00044,CUST013,2026-02-06T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00044,2026-02-06T10:20:00Z
APPB00242,UNKNOWN02,2026-02-24T10:15:00Z,token_purchase,succeeded,25.00,USD,provider-appb00242,2026-02-24T10:20:00Z
APPB00229,CUST048,2026-06-09T10:15:00Z,token_purchase,succeeded,12.00,EUR,provider-appb00229,2026-06-09T10:20:00Z
APPB00015,CUST015,2026-01-17T10:15:00Z,subscription_renewal, SUCCEEDED ,62.00,USD,provider-appb00015,2026-01-17T10:20:00Z
APPB00106,CUST044,2026-03-08T10:15:00Z,subscription_renewal,succeeded,47.00,GBP,provider-appb00106,2026-03-08T10:20:00Z
APPB00203,CUST048,2026-06-05T10:15:00Z,subscription_renewal,succeeded,62.00,EUR,provider-appb00203,2026-06-05T10:20:00Z
APPB00096,CUST034,2026-03-18T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00096,2026-03-18T10:20:00Z
APPB00068,CUST037,2026-02-10T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00068,2026-02-10T10:20:00Z
APPB00026,CUST026,2026-01-08T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00026,2026-01-08T10:20:00Z
APPB00186,CUST062,2026-05-08T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00186,2026-05-08T10:20:00Z
APPB00163,CUST039,2026-05-05T10:15:00Z,subscription_renewal,succeeded,62.00,GBP,provider-appb00163,2026-05-05T10:20:00Z
APPB00034,CUST018,2026-01-14T10:15:00Z,token_purchase,succeeded,27.00,EUR,provider-appb00034,2026-01-14T10:20:00Z
APPB00171,CUST047,2026-05-13T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00171,2026-05-13T10:20:00Z
APPB00010,CUST010,2026-01-12T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00010,2026-01-12T10:20:00Z
APPB00039,CUST012,2026-01-21T10:15:00Z,refund,Succeeded,11.00,USD,provider-appb00039,2026-01-21T10:20:00Z
APPB00094,CUST032,2026-03-16T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00094,2026-03-16T10:20:00Z
APPB00071,CUST018,2026-02-11T10:15:00Z,token_purchase,succeeded,18.00,EUR,provider-appb00071,2026-02-11T10:20:00Z
APPB00176,CUST052,2026-05-18T10:15:00Z,subscription_renewal,failed,77.00,USD,provider-appb00176,2026-05-18T10:20:00Z
APPB00179,CUST055,2026-05-21T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00179,2026-05-21T10:20:00Z
APPB00170,CUST046,2026-05-12T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00170,2026-05-12T10:20:00Z
APPB00016,CUST016,2026-01-18T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00016,2026-01-18T10:20:00Z
APPB00212,CUST057,2026-06-14T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00212,2026-06-14T10:20:00Z
APPB00122,CUST029,2026-04-04T10:15:00Z,subscription_renewal,succeeded,55.00,GBP,provider-appb00122-corrected,2026-04-04T16:20:00Z
APPB00187,CUST063,2026-05-09T10:15:00Z,subscription_renewal,succeeded,62.00,EUR,provider-appb00187,2026-05-09T10:20:00Z
APPB00245,CUST011,2026-13-40 25:61:00,token_purchase,succeeded,15.00,USD,provider-appb00245,2026-03-08T10:20:00Z
APPB00142,CUST049,2026-04-04T10:15:00Z,subscription_renewal,succeeded,47.00,GBP,provider-appb00142,2026-04-04T10:20:00Z
APPB00146,CUST053,2026-04-08T10:15:00Z,subscription_renewal,succeeded,47.00,EUR,provider-appb00146,2026-04-08T10:20:00Z
APPB00063,CUST032,2026-02-05T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00063,2026-02-05T10:20:00Z
APPB00141,CUST048,2026-04-03T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00141,2026-04-03T10:20:00Z
APPB00110,CUST024,2026-03-10T10:15:00Z,token_purchase,succeeded,15.00,GBP,provider-appb00110,2026-03-10T10:20:00Z
APPB00100,CUST038,2026-03-22T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00100,2026-03-22T10:20:00Z
APPB00199,CUST048,2026-05-21T10:15:00Z,refund,succeeded,11.00,EUR,provider-appb00199,2026-05-21T10:20:00Z
APPB00246,CUST012,2027-01-02T10:00:00Z,subscription_renewal,succeeded,49.00,USD,provider-appb00246,2026-06-08T10:20:00Z
APPB00072,CUST021,2026-02-12T10:15:00Z,token_purchase,succeeded,21.00,USD,provider-appb00072,2026-02-12T10:20:00Z
APPB00109,CUST021,2026-03-09T10:15:00Z,token_purchase,succeeded,12.00,USD,provider-appb00109,2026-03-09T10:20:00Z
APPB00090,CUST028,2026-03-12T10:15:00Z,subscription_renewal,succeeded,47.00,EUR,provider-appb00090,2026-03-12T10:20:00Z
APPB00235,CUST066,2026-06-15T10:15:00Z,token_purchase,succeeded,30.00,USD,provider-appb00235,2026-06-15T10:20:00Z
APPB00161,CUST037,2026-05-03T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00161,2026-05-03T10:20:00Z
APPB00132,CUST039,2026-04-14T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00132,2026-04-14T10:20:00Z
APPB00092,CUST030,2026-03-14T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00092,2026-03-14T10:20:00Z
APPB00012,CUST012,2026-01-14T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00012,2026-01-14T10:20:00Z
APPB00081,CUST019,2026-03-03T10:15:00Z,subscription_renewal,succeeded,32.00,GBP,provider-appb00081,2026-03-03T10:20:00Z
APPB00121,CUST028,2026-04-03T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00121,2026-04-03T10:20:00Z
APPB00065,CUST034,2026-02-07T10:15:00Z,subscription_renewal,succeeded,32.00,GBP,provider-appb00065,2026-02-07T10:20:00Z
APPB00115,CUST039,2026-03-15T10:15:00Z,token_purchase,succeeded,30.00,GBP,provider-appb00115,2026-03-15T10:20:00Z
APPB00018,CUST018,2026-01-20T10:15:00Z,subscription_renewal,succeeded,47.00,EUR,provider-appb00018,2026-01-20T10:20:00Z
APPB00159,CUST039,2026-04-21T10:15:00Z,refund,succeeded,11.00,GBP,provider-appb00159,2026-04-21T10:20:00Z
APPB00221,CUST066,2026-06-03T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00221,2026-06-03T10:20:00Z
APPB00208,CUST053,2026-06-10T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00208,2026-06-10T10:20:00Z
APPB00056,CUST025,2026-02-18T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00056,2026-02-18T10:20:00Z
APPB00220,CUST065,2026-06-22T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00220,2026-06-22T10:20:00Z
APPB00047,CUST016,2026-02-09T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00047,2026-02-09T10:20:00Z
APPB00158,CUST032,2026-04-20T10:15:00Z,refund,succeeded,7.00,USD,provider-appb00158,2026-04-20T10:20:00Z
APPB00120,CUST037,2026-03-22T10:15:00Z,refund,succeeded,15.00,USD,provider-appb00120,2026-03-22T10:20:00Z
APPB00095,CUST033,2026-03-17T10:15:00Z,subscription_renewal,succeeded,62.00,EUR,provider-appb00095,2026-03-17T10:20:00Z
APPB00032,CUST012,2026-01-12T10:15:00Z,token_purchase,succeeded,21.00,USD,provider-appb00032,2026-01-12T10:20:00Z
APPB00136,CUST043,2026-04-18T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00136,2026-04-18T10:20:00Z
APPB00022,CUST022,2026-01-04T10:15:00Z,subscription_renewal,failed,47.00,USD,provider-appb00022-voided,2026-01-04T22:20:00Z
APPB00013,CUST013,2026-01-15T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00013,2026-01-15T10:20:00Z
APPB00098,CUST036,2026-03-20T10:15:00Z,subscription_renewal,failed,47.00,USD,provider-appb00098,2026-03-20T10:20:00Z
APPB00076,CUST033,2026-02-16T10:15:00Z,token_purchase,succeeded,33.00,EUR,provider-appb00076,2026-02-16T10:20:00Z
APPB00036,CUST024,2026-01-16T10:15:00Z,token_purchase,succeeded,33.00,GBP,provider-appb00036,2026-01-16T10:20:00Z
APPB00239,CUST057,2026-06-21T10:15:00Z,refund,succeeded,11.00,USD,provider-appb00239,2026-06-21T10:20:00Z
APPB00198,CUST041,2026-05-20T10:15:00Z,refund,succeeded,7.00,USD,provider-appb00198,2026-05-20T10:20:00Z
APPB00003,CUST003,2026-01-05T10:15:00Z,subscription_renewal,succeeded,62.00,EUR,provider-appb00003,2026-01-05T10:20:00Z
APPB00080,CUST028,2026-02-22T10:15:00Z,refund,succeeded,15.00,EUR,provider-appb00080,2026-02-22T10:20:00Z
APPB00061,CUST030,2026-02-03T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00061,2026-02-03T10:20:00Z
APPB00021,CUST021,2026-01-03T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00021,2026-01-03T10:20:00Z
APPB00028,CUST028,2026-01-10T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00028,2026-01-10T10:20:00Z
APPB00074,CUST027,2026-02-14T10:15:00Z,token_purchase,succeeded,27.00,USD,provider-appb00074,2026-02-14T10:20:00Z
APPB00123,CUST030,2026-04-05T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00123,2026-04-05T10:20:00Z
APPB00173,CUST049,2026-05-15T10:15:00Z,subscription_renewal,succeeded,32.00,GBP,provider-appb00173,2026-05-15T10:20:00Z
APPB00201,CUST046,2026-06-03T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00201,2026-06-03T10:20:00Z
APPB00086,CUST024,2026-03-08T10:15:00Z,subscription_renewal,succeeded,47.00,GBP,provider-appb00086,2026-03-08T10:20:00Z
APPB00149,CUST030,2026-04-09T10:15:00Z,token_purchase,succeeded,12.00,USD,provider-appb00149,2026-04-09T10:20:00Z
APPB00058,CUST027,2026-02-20T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00058,2026-02-20T10:20:00Z
APPB00144,CUST051,2026-04-06T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00144,2026-04-06T10:20:00Z
APPB00117,CUST045,2026-03-17T10:15:00Z,token_purchase,succeeded,36.00,USD,provider-appb00117,2026-03-17T10:20:00Z
APPB00164,CUST040,2026-05-06T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00164,2026-05-06T10:20:00Z
APPB00225,CUST070,2026-06-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00225,2026-06-07T10:20:00Z
APPB00001,CUST001,2026-01-03T10:15:00Z,subscription_renewal,failed,32.00,USD,provider-appb00001,2026-01-03T10:20:00Z
APPB00241,UNKNOWN01,2026-01-24T10:15:00Z,token_purchase,succeeded,25.00,USD,provider-appb00241,2026-01-24T10:20:00Z
APPB00005,CUST005,2026-01-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00005,2026-01-07T10:20:00Z
APPB00008,CUST008,2026-01-10T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00008,2026-01-10T10:20:00Z
APPB00024,CUST024,2026-01-06T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00024,2026-01-06T10:20:00Z
APPB00099,CUST037,2026-03-21T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00099,2026-03-21T10:20:00Z
APPB00066,CUST035,2026-02-08T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00066,2026-02-08T10:20:00Z
APPB00155,CUST048,2026-04-15T10:15:00Z,token_purchase,succeeded,30.00,EUR,provider-appb00155,2026-04-15T10:20:00Z
APPB00139,CUST046,2026-04-21T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00139,2026-04-21T10:20:00Z
APPB00105,CUST043,2026-03-07T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00105,2026-03-07T10:20:00Z
APPB00009,CUST009,2026-01-11T10:15:00Z,subscription_renewal,succeeded,32.00,GBP,provider-appb00009,2026-01-11T10:20:00Z
APPB00073,CUST024,2026-02-13T10:15:00Z,token_purchase,succeeded,24.00,GBP,provider-appb00073,2026-02-13T10:20:00Z
APPB00107,CUST045,2026-03-09T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00107,2026-03-09T10:20:00Z
APPB00101,CUST039,2026-03-03T10:15:00Z,subscription_renewal,succeeded,32.00,GBP,provider-appb00101,2026-03-03T10:20:00Z
APPB00020,CUST020,2026-01-22T10:15:00Z,subscription_renewal,failed,77.00,USD,provider-appb00020,2026-01-22T10:20:00Z
APPB00031,CUST009,2026-01-11T10:15:00Z,token_purchase,succeeded,18.00,GBP,provider-appb00031,2026-01-11T10:20:00Z
APPB00150,CUST033,2026-04-10T10:15:00Z,token_purchase,succeeded,15.00,EUR,provider-appb00150,2026-04-10T10:20:00Z
APPB00102,CUST040,2026-03-04T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00102,2026-03-04T10:20:00Z
APPB00224,CUST069,2026-06-06T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00224,2026-06-06T10:20:00Z
APPB00166,CUST042,2026-05-08T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00166,2026-05-08T10:20:00Z
APPB00216,CUST061,2026-06-18T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00216,2026-06-18T10:20:00Z
APPB00048,CUST017,2026-02-10T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00048,2026-02-10T10:20:00Z
APPB00112,CUST030,2026-03-12T10:15:00Z,token_purchase,succeeded,21.00,USD,provider-appb00112,2026-03-12T10:20:00Z
APPB00118,CUST023,2026-03-20T10:15:00Z,refund, succeeded,7.00,EUR,provider-appb00118,2026-03-20T10:20:00Z
APPB00226,CUST071,2026-06-08T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00226,2026-06-08T10:20:00Z
APPB00092,CUST030,2026-03-14T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00092,2026-03-14T10:20:00Z
APPB00064,CUST033,2026-02-06T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00064,2026-02-06T10:20:00Z
APPB00022,CUST022,2026-01-04T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00022,2026-01-04T10:20:00Z
APPB00133,CUST040,2026-04-15T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00133,2026-04-15T10:20:00Z
APPB00228,CUST073,2026-06-10T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00228,2026-06-10T10:20:00Z
APPB00087,CUST025,2026-03-09T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00087,2026-03-09T10:20:00Z
APPB00168,CUST044,2026-05-10T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00168,2026-05-10T10:20:00Z
APPB00157,CUST054,2026-04-17T10:15:00Z,token_purchase,Failed ,36.00,GBP,provider-appb00157,2026-04-17T10:20:00Z
APPB00195,CUST057,2026-05-15T10:15:00Z,token_purchase,succeeded,30.00,USD,provider-appb00195,2026-05-15T10:20:00Z
APPB00185,CUST061,2026-05-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00185,2026-05-07T10:20:00Z
APPB00204,CUST049,2026-06-06T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00204,2026-06-06T10:20:00Z
APPB00125,CUST032,2026-04-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00125,2026-04-07T10:20:00Z
APPB00011,CUST011,2026-01-13T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00011,2026-01-13T10:20:00Z
APPB00244,CUST011,not-a-timestamp,token_purchase,succeeded,15.00,USD,provider-appb00244,2026-03-08T10:20:00Z
APPB00004,CUST004,2026-01-06T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00004,2026-01-06T10:20:00Z
APPB00082,CUST020,2026-03-04T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00082,2026-03-04T10:20:00Z
APPB00151,CUST036,2026-04-11T10:15:00Z,token_purchase,succeeded,18.00,USD,provider-appb00151,2026-04-11T10:20:00Z
APPB00234,CUST063,2026-06-14T10:15:00Z,token_purchase,succeeded,27.00,EUR,provider-appb00234,2026-06-14T10:20:00Z
APPB00043,CUST012,2026-02-05T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00043,2026-02-05T10:20:00Z
APPB00213,CUST058,2026-06-15T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00213,2026-06-15T10:20:00Z
APPB00057,CUST026,2026-02-19T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00057,2026-02-19T10:20:00Z
APPB00189,CUST039,2026-05-09T10:15:00Z,token_purchase,succeeded,12.00,GBP,provider-appb00189,2026-05-09T10:20:00Z
APPB00128,CUST035,2026-04-10T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00128,2026-04-10T10:20:00Z
APPB00135,CUST042,2026-04-17T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00135,2026-04-17T10:20:00Z
APPB00178,CUST054,2026-05-20T10:15:00Z,subscription_renewal,succeeded,47.00,GBP,provider-appb00178,2026-05-20T10:20:00Z
APPB00180,CUST056,2026-05-22T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00180,2026-05-22T10:20:00Z
APPB00116,CUST042,2026-03-16T10:15:00Z,token_purchase,succeeded,33.00,USD,provider-appb00116,2026-03-16T10:20:00Z
APPB00169,CUST045,2026-05-11T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00169,2026-05-11T10:20:00Z
APPB00040,CUST019,2026-01-22T10:15:00Z,refund,succeeded,15.00,GBP,provider-appb00040,2026-01-22T10:20:00Z
APPB00206,CUST051,2026-06-08T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00206,2026-06-08T10:20:00Z
APPB00083,CUST021,2026-03-05T10:15:00Z,subscription_renewal,FAILED,62.00,USD,provider-appb00083,2026-03-05T10:20:00Z
APPB00222,CUST067,2026-06-04T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00222,2026-06-04T10:20:00Z
APPB00017,CUST017,2026-01-19T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00017,2026-01-19T10:20:00Z
APPB00175,CUST051,2026-05-17T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00175,2026-05-17T10:20:00Z
APPB00097,CUST035,2026-03-19T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00097,2026-03-19T10:20:00Z
APPB00154,CUST045,2026-04-14T10:15:00Z,token_purchase,succeeded,27.00,USD,provider-appb00154,2026-04-14T10:20:00Z
APPB00181,CUST057,2026-05-03T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00181,2026-05-03T10:20:00Z
APPB00019,CUST019,2026-01-21T10:15:00Z,subscription_renewal,succeeded,62.00,GBP,provider-appb00019,2026-01-21T10:20:00Z
APPB00188,CUST064,2026-05-10T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00188,2026-05-10T10:20:00Z
APPB00230,CUST051,2026-06-10T10:15:00Z,token_purchase,succeeded,15.00,USD,provider-appb00230,2026-06-10T10:20:00Z
APPB00127,CUST034,2026-04-09T10:15:00Z,subscription_renewal,succeeded,62.00,GBP,provider-appb00127,2026-04-09T10:20:00Z
APPB00194,CUST054,2026-05-14T10:15:00Z,token_purchase,succeeded,27.00,GBP,provider-appb00194,2026-05-14T10:20:00Z
APPB00240,CUST064,2026-06-22T10:15:00Z,refund,succeeded,15.00,GBP,provider-appb00240,2026-06-22T10:20:00Z
APPB00233,CUST060,2026-06-13T10:15:00Z,token_purchase,succeeded,24.00,USD,provider-appb00233,2026-06-13T10:20:00Z
APPB00211,CUST056,2026-06-13T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00211,2026-06-13T10:20:00Z
APPB00197,CUST063,2026-05-17T10:15:00Z,token_purchase,succeeded,36.00,EUR,provider-appb00197,2026-05-17T10:20:00Z
APPB00182,CUST058,2026-05-04T10:15:00Z,subscription_renewal,succeeded,47.00,EUR,provider-appb00182,2026-05-04T10:20:00Z
APPB00143,CUST050,2026-04-05T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00143,2026-04-05T10:20:00Z
APPB00172,CUST048,2026-05-14T10:15:00Z,subscription_renewal,succeeded,77.00,EUR,provider-appb00172,2026-05-14T10:20:00Z
APPB00183,CUST059,2026-05-05T10:15:00Z,subscription_renewal,succeeded,62.00,GBP,provider-appb00183,2026-05-05T10:20:00Z
APPB00067,CUST036,2026-02-09T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00067,2026-02-09T10:20:00Z
APPB00075,CUST030,2026-02-15T10:15:00Z,token_purchase,succeeded,30.00,USD,provider-appb00075,2026-02-15T10:20:00Z
APPB00070,CUST015,2026-02-10T10:15:00Z,token_purchase,succeeded,15.00,USD,provider-appb00070,2026-02-10T10:20:00Z
APPB00218,CUST063,2026-06-20T10:15:00Z,subscription_renewal,succeeded,47.00,EUR,provider-appb00218,2026-06-20T10:20:00Z
APPB00130,CUST037,2026-04-12T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00130,2026-04-12T10:20:00Z
APPB00023,CUST023,2026-01-05T10:15:00Z,subscription_renewal,succeeded,62.00,EUR,provider-appb00023,2026-01-05T10:20:00Z
APPB00062,CUST031,2026-02-04T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00062,2026-02-04T10:20:00Z
APPB00053,CUST022,2026-02-15T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00053,2026-02-15T10:20:00Z
APPB00078,CUST014,2026-02-20T10:15:00Z,refund,succeeded,7.00,GBP,provider-appb00078,2026-02-20T10:20:00Z
APPB00207,CUST052,2026-06-09T10:15:00Z,subscription_renewal,succeeded,62.00,USD,provider-appb00207,2026-06-09T10:20:00Z
APPB00205,CUST050,2026-06-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00205,2026-06-07T10:20:00Z
APPB00160,CUST046,2026-04-22T10:15:00Z,refund,succeeded,15.00,USD,provider-appb00160,2026-04-22T10:20:00Z
APPB00219,CUST064,2026-06-21T10:15:00Z,subscription_renewal,succeeded,62.00,GBP,provider-appb00219,2026-06-21T10:20:00Z
APPB00192,CUST048,2026-05-12T10:15:00Z,token_purchase,succeeded,21.00,EUR,provider-appb00192,2026-05-12T10:20:00Z
APPB00145,CUST052,2026-04-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00145,2026-04-07T10:20:00Z
APPB00165,CUST041,2026-05-07T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00165,2026-05-07T10:20:00Z
APPB00243,UNKNOWN03,2026-03-24T10:15:00Z,token_purchase,succeeded,25.00,USD,provider-appb00243,2026-03-24T10:20:00Z
APPB00042,CUST011,2026-02-04T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00042,2026-02-04T10:20:00Z
APPB00177,CUST053,2026-05-19T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00177,2026-05-19T10:20:00Z
APPB00184,CUST060,2026-05-06T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00184,2026-05-06T10:20:00Z
APPB00237,CUST072,2026-06-17T10:15:00Z,token_purchase,succeeded,36.00,USD,provider-appb00237,2026-06-17T10:20:00Z
APPB00049,CUST018,2026-02-11T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00049,2026-02-11T10:20:00Z
APPB00119,CUST030,2026-03-21T10:15:00Z,refund,succeeded,11.00,USD,provider-appb00119,2026-03-21T10:20:00Z
APPB00190,CUST042,2026-05-10T10:15:00Z,token_purchase,succeeded,15.00,USD,provider-appb00190,2026-05-10T10:20:00Z
APPB00074,CUST027,2026-02-14T10:15:00Z,token_purchase,succeeded,24.00,USD,provider-appb00074-corrected,2026-02-14T16:20:00Z
APPB00060,CUST029,2026-02-22T10:15:00Z,subscription_renewal,succeeded,77.00,GBP,provider-appb00060,2026-02-22T10:20:00Z
APPB00077,CUST036,2026-02-17T10:15:00Z,token_purchase,succeeded,36.00,USD,provider-appb00077,2026-02-17T10:20:00Z
APPB00035,CUST021,2026-01-15T10:15:00Z,token_purchase,succeeded,30.00,USD,provider-appb00035,2026-01-15T10:20:00Z
APPB00079,CUST021,2026-02-21T10:15:00Z,refund,succeeded,11.00,USD,provider-appb00079,2026-02-21T10:20:00Z
